;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_change;R_limit_failure;ne;std_ne;Te;std_Te
127;50209;OP22;EIM000+2520;20241126.010;3.5;0.021505376344086023;True;0.14109657947686116;;;;
128;50209;OP22;EIM000+2520;20241126.010;6.5;0.021739130434782608;True;0.13341382432840326;;;;
129;50209;OP22;EIM000+2520;20241126.010;9.5;0.0851063829787234;True;0.1486452520987282;;;;
130;50209;OP22;EIM000+2520;20241126.009;0.5;0.011904761904761904;True;0.09564036807965003;2.58e+18;1e+16;8.56;0.08
131;50209;OP22;EIM000+2520;20241126.009;3.5;0.09803921568627451;True;0.16619746631811783;7.38e+18;3e+16;10.37;0.08
132;50209;OP22;EIM000+2520;20241126.009;6.5;0.18;True;0.15370687053616336;8.880000000000001e+18;3e+16;10.76;0.06
133;50209;OP22;EIM000+2520;20241126.009;9.5;0.2765957446808511;True;0.15863837489943686;9.71e+18;3e+16;11.02;0.05
134;50209;OP22;EIM000+2520;20241126.012;0.5;0.011764705882352941;True;0.10310315344766886;2.04e+18;2e+16;12.32;0.15
135;50209;OP22;EIM000+2520;20241126.012;3.5;0.022988505747126436;True;0.13855361094347213;4.81e+18;1e+16;8.9;0.04
136;50209;OP22;EIM000+2520;20241126.012;6.5;0.03333333333333333;True;0.13852030558906314;3.86e+18;2e+16;10.89;0.09
137;50209;OP22;EIM000+2520;20241126.012;9.5;0.09782608695652174;True;0.15372623956552348;4.86e+18;1e+16;11.62;0.04
138;50209;OP22;EIM000+2520;20241126.011;0.5;0.033707865168539325;True;0.09050683829444892;2.61e+18;1e+16;7.53;0.07
139;50209;OP22;EIM000+2520;20241126.011;3.5;0.022222222222222223;True;0.13099250465315157;3.95e+18;2e+16;11.02;0.11
140;50209;OP22;EIM000+2520;20241126.016;0.5;0.0;False;0.007543374402816193;;;;
141;50209;OP22;EIM000+2520;20241126.016;3.5;0.011494252873563218;True;0.14355365669766273;;;;
142;50209;OP22;EIM000+2520;20241126.016;6.5;0.0;False;0.015084473049074818;;;;
143;50209;OP22;EIM000+2520;20241126.016;9.5;0.0;False;0.025136996631642452;;;;
144;50209;OP22;EIM000+2520;20241126.015;0.5;0.0;False;0.03017046311660884;;;;
145;50209;OP22;EIM000+2520;20241126.015;3.5;0.03409090909090909;True;0.11077046790973513;;;;
146;50209;OP22;EIM000+2520;20241126.015;6.5;0.0;False;0.03769601930036188;;;;
147;50209;OP22;EIM000+2520;20241126.015;9.5;0.0;False;0.04023133014835303;;;;
148;50209;OP22;EIM000+2520;20241126.017;0.5;0.0;False;0.027663212956443015;;;;
149;50209;OP22;EIM000+2520;20241126.017;3.5;0.011904761904761904;True;0.08048461693142972;;;;
150;50209;OP22;EIM000+2520;20241126.017;6.5;0.0;False;0.06285197103781175;;;;
151;50209;OP22;EIM000+2520;20241126.017;9.5;0.0;False;0.03772066589548861;;;;
152;50209;OP22;EIM000+2520;20241126.014;0.5;0.0;False;0.0;;;;
153;50209;OP22;EIM000+2520;20241126.014;3.5;0.0;False;0.0;;;;
154;50209;OP22;EIM000+2520;20241126.014;6.5;0.0;False;0.0;;;;
155;50209;OP22;EIM000+2520;20241126.014;9.5;0.0;False;0.0;;;;
156;50209;OP22;EIM000+2520;20241126.013;0.5;0.0;False;0.0;;;;
157;50209;OP22;EIM000+2520;20241126.013;3.5;0.0;False;0.0;;;;
158;50209;OP22;EIM000+2520;20241126.013;6.5;0.0;False;0.0;;;;
159;50209;OP22;EIM000+2520;20241126.013;9.5;0.0;False;0.0;;;;
160;50209;OP22;EIM000+2520;20241126.020;0.5;0.03409090909090909;True;0.09548218503442384;1.71e+18;1e+16;15.82;0.12
161;50209;OP22;EIM000+2520;20241126.020;3.5;0.022222222222222223;True;0.09302559460954392;1.52e+18;2e+16;15.04;0.22
162;50209;OP22;EIM000+2520;20241126.020;6.5;0.043478260869565216;True;0.1410391831396811;2.31e+18;1e+16;13.75;0.07
163;50209;OP22;EIM000+2520;20241126.020;9.5;0.0;False;0.08295625942684766;1.45e+18;2e+16;14.99;0.23
164;50209;OP22;EIM000+2520;20241126.019;0.5;0.0;False;0.010056821038869613;;;;
165;50209;OP22;EIM000+2520;20241126.019;3.5;0.0;False;0.07792860734037205;;;;
166;50209;OP22;EIM000+2520;20241126.019;6.5;0.0;False;0.0050296750829896385;;;;
167;50209;OP22;EIM000+2520;20241126.019;9.5;0.0;False;0.012572290671360321;;;;
168;50209;OP22;EIM000+2520;20241126.018;0.5;0.0;False;0.02764652659093194;;;;
169;50209;OP22;EIM000+2520;20241126.018;3.5;0.011363636363636364;True;0.10328355206919093;;;;
170;50209;OP22;EIM000+2520;20241126.018;6.5;0.0;False;0.027661821656691645;;;;
171;50209;OP22;EIM000+2520;20241126.018;9.5;0.0;False;0.03017046311660884;;;;
172;50209;OP22;EIM000+2520;20241126.023;0.5;0.0;False;0.0;;;;
173;50209;OP22;EIM000+2520;20241126.023;3.5;0.0;False;0.0;;;;
174;50209;OP22;EIM000+2520;20241126.023;6.5;0.0;False;0.0;;;;
175;50209;OP22;EIM000+2520;20241126.023;9.5;0.0;False;0.0;;;;
176;50209;OP22;EIM000+2520;20241126.025;0.5;0.0;False;0.012564708247474493;;;;
177;50209;OP22;EIM000+2520;20241126.025;3.5;0.011764705882352941;True;0.057774428535543834;;;;
178;50209;OP22;EIM000+2520;20241126.025;6.5;0.0;False;0.0;;;;
179;50209;OP22;EIM000+2520;20241126.025;9.5;0.0;False;0.007541857308059731;;;;
180;50209;OP22;EIM000+2520;20241126.028;0.5;0.0;False;0.0;;;;
181;50209;OP22;EIM000+2520;20241126.028;3.5;0.0;False;0.0;;;;
182;50209;OP22;EIM000+2520;20241126.028;6.5;0.0;False;0.0;;;;
183;50209;OP22;EIM000+2520;20241126.028;9.5;0.0;False;0.0;;;;
184;50209;OP22;EIM000+2520;20241126.030;0.5;0.0;False;0.0;;;;
185;50209;OP22;EIM000+2520;20241126.030;3.5;0.0;False;0.0;;;;
186;50209;OP22;EIM000+2520;20241126.030;6.5;0.0;False;0.0;;;;
187;50209;OP22;EIM000+2520;20241126.030;9.5;0.0;False;0.0;;;;
188;50209;OP22;EIM000+2520;20241126.029;0.5;0.0;False;0.0;;;;
189;50209;OP22;EIM000+2520;20241126.029;3.5;0.0;False;0.0;;;;
190;50209;OP22;EIM000+2520;20241126.029;6.5;0.0;False;0.0;;;;
191;50209;OP22;EIM000+2520;20241126.029;9.5;0.0;False;0.0;;;;
192;50209;OP22;EIM000+2520;20241126.031;0.5;0.0;False;0.030165912518853696;;;;
193;50209;OP22;EIM000+2520;20241126.031;3.5;0.011764705882352941;True;0.0729548996932978;;;;
194;50209;OP22;EIM000+2520;20241126.031;6.5;0.0;False;0.0;;;;
195;50209;OP22;EIM000+2520;20241126.031;9.5;0.0;False;0.012563445399266295;;;;
196;50209;OP22;EIM000+2520;20241126.034;0.5;0.0;False;0.015084473049074818;;;;
197;50209;OP22;EIM000+2520;20241126.034;3.5;0.011627906976744186;True;0.09052980798230623;;;;
198;50209;OP22;EIM000+2520;20241126.034;6.5;0.0;False;0.06285197103781175;;;;
199;50209;OP22;EIM000+2520;20241126.034;9.5;0.011627906976744186;True;0.09304898903530832;;;;
200;50209;OP22;EIM000+2520;20241126.036;0.5;0.0;False;0.0025145845906256285;;;;
201;50209;OP22;EIM000+2520;20241126.036;3.5;0.0;False;0.06787330316742081;;;;
202;50209;OP22;EIM000+2520;20241126.036;6.5;0.0;False;0.00502739932632849;;;;
203;50209;OP22;EIM000+2520;20241126.036;9.5;0.0;False;0.0;;;;
204;50209;OP22;EIM000+2520;20241126.035;0.5;0.0;False;0.01006238679814852;;;;
205;50209;OP22;EIM000+2520;20241126.035;3.5;0.0;False;0.0276479163524858;;;;
206;50209;OP22;EIM000+2520;20241126.035;6.5;0.0;False;0.015077649896969393;;;;
207;50209;OP22;EIM000+2520;20241126.035;9.5;0.0;False;0.017599436818021823;;;;
208;50209;OP22;EIM000+2520;20241126.038;0.5;0.0;False;0.0;;;;
209;50209;OP22;EIM000+2520;20241126.038;3.5;0.010869565217391304;True;0.005028663381273258;;;;
210;50209;OP22;EIM000+2520;20241126.038;6.5;0.0;False;0.0176020921343794;;;;
211;50209;OP22;EIM000+2520;20241126.038;9.5;0.0;False;0.0;;;;
212;50209;OP22;EIM000+2520;20241126.037;0.5;0.0;False;0.0;;;;
213;50209;OP22;EIM000+2520;20241126.037;3.5;0.0;False;0.0;;;;
214;50209;OP22;EIM000+2520;20241126.037;6.5;0.0;False;0.0;;;;
215;50209;OP22;EIM000+2520;20241126.037;9.5;0.0;False;0.0;;;;
216;50209;OP22;EIM000+2520;20241126.040;0.5;0.0;False;0.08558059971825317;;;;
217;50209;OP22;EIM000+2520;20241126.040;3.5;0.0;False;0.0829938131884714;;;;
218;50209;OP22;EIM000+2520;20241126.040;6.5;0.0;False;0.10077987421383648;;;;
219;50209;OP22;EIM000+2520;20241126.040;9.5;0.0;False;0.11077588374314878;;;;
220;50209;OP22;EIM000+2520;20241126.039;0.5;0.011627906976744186;True;0.10316382475730597;;;;
221;50209;OP22;EIM000+2520;20241126.039;3.5;0.0;False;0.050289162685441285;;;;
222;50209;OP22;EIM000+2520;20241126.039;6.5;0.011904761904761904;True;0.1031378859499145;;;;
223;50209;OP22;EIM000+2520;20241126.039;9.5;0.011764705882352941;True;0.0729915991750088;;;;
224;50209;OP22;EIM000+2520;20241119.047;2.0;0.023255813953488372;True;0.1460470730235365;;;;
225;50209;OP22;EIM000+2520;20241119.047;7.0;0.0;False;0.0;;;;
226;50209;OP22;EIM000+2520;20241121.046;0.5;0.03333333333333333;True;0.12344001610305957;3.39e+18;6e+16;10.23;0.29
227;50209;OP22;EIM000+2520;20241121.046;3.5;0.044444444444444446;True;0.14851335714645067;2.42e+18;5e+16;12.38;0.35
228;50209;OP22;EIM000+2520;20241121.046;7.0;0.06382978723404255;True;0.1737665342252175;2.53e+18;5e+16;12.37;0.28
229;50209;OP22;EIM000+2520;20241121.046;10.0;0.03488372093023256;True;0.1813745220366271;3.21e+18;6e+16;11.86;0.3
230;50209;OP22;EIM000+2520;20241121.045;0.5;0.024096385542168676;True;0.1788319331958348;;;;
231;50209;OP22;EIM000+2520;20241121.045;3.5;0.011627906976744186;True;0.13842362054222623;;;;
232;50209;OP22;EIM000+2520;20241121.045;7.0;0.10309278350515463;True;0.1687625754527163;;;;
233;50209;OP22;EIM000+2520;20241121.045;10.0;0.10227272727272728;True;0.18131978674177648;;;;
234;50209;OP22;EIM000+2520;20241121.045;14.0;0.0;False;0.0;;;;
235;50209;OP22;EIM000+2520;20241121.044;0.5;0.011764705882352941;True;0.1434461259992961;;;;
236;50209;OP22;EIM000+2520;20241121.044;3.5;0.046511627906976744;True;0.14589512845005279;;;;
237;50209;OP22;EIM000+2520;20241121.044;7.0;0.10638297872340426;True;0.17623981490795695;;;;
238;50209;OP22;EIM000+2520;20241121.044;10.0;0.14772727272727273;True;0.18378024852844996;;;;
239;50209;OP22;EIM000+2520;20241121.044;14.0;0.0;False;0.0;;;;
240;50209;OP22;EIM000+2520;20241121.048;0.5;0.0;True;0.13612354746214597;3.62e+18;8e+16;11.06;0.44
241;50209;OP22;EIM000+2520;20241121.048;3.5;0.03409090909090909;True;0.1461035696329814;3.02e+18;8e+16;10.34;0.53
242;50209;OP22;EIM000+2520;20241121.048;7.0;0.022988505747126436;True;0.1309003166943146;3.9e+18;5e+16;10.5;0.22
243;50209;OP22;EIM000+2520;20241121.048;10.0;0.20618556701030927;True;0.17386929617145444;4.34e+18;5e+16;11.02;0.17
244;50209;OP22;EIM000+2520;20241121.047;0.5;0.011904761904761904;True;0.0982493208572291;2.59e+18;4e+16;11.8;0.26
245;50209;OP22;EIM000+2520;20241121.047;3.5;0.022988505747126436;True;0.16369856122346313;3.76e+18;4e+16;10.67;0.18
246;50209;OP22;EIM000+2520;20241121.047;7.0;0.033707865168539325;True;0.146062893081761;3.7e+18;4e+16;10.13;0.17
247;50209;OP22;EIM000+2520;20241121.047;10.0;0.023255813953488372;True;0.17890715326999446;3.92e+18;5e+16;11.99;0.25
248;50209;OP22;EIM000+2520;20241121.049;0.5;0.023255813953488372;True;0.13597747951540742;4.13e+18;7.000000000000001e+16;10.52;0.33
249;50209;OP22;EIM000+2520;20241121.049;3.5;0.08247422680412371;True;0.16370035193564605;4.1799999999999995e+18;8e+16;10.07;0.38
250;50209;OP22;EIM000+2520;20241121.049;7.0;0.05263157894736842;True;0.17127905806581464;4.95e+18;6e+16;10.57;0.25
251;50209;OP22;EIM000+2520;20241121.049;10.0;0.15053763440860216;True;0.1758677852011855;5.36e+18;5e+16;11.56;0.2
252;50209;OP22;EIM000+2520;20241121.065;0.5;0.0;False;0.07798672566371681;;;;
253;50209;OP22;EIM000+2520;20241121.065;3.5;0.0;False;0.0;;;;
254;50209;OP22;EIM000+2520;20241121.067;0.5;0.1839080459770115;True;0.1661807580174927;;;;
255;50209;OP22;EIM000+2520;20241121.067;3.5;0.011494252873563218;True;0.1485038974101081;;;;
256;50209;OP22;EIM000+2520;20241121.067;7.0;0.0;False;0.18379357175192396;;;;
257;50209;OP22;EIM000+2520;20241121.066;0.5;0.0;False;0.08045052292839903;;;;
258;50209;OP22;EIM000+2520;20241121.066;3.5;0.0;False;0.0754916260121712;;;;
259;50209;OP22;EIM000+2520;20241121.066;7.0;0.0;False;0.17870435569862186;;;;
260;50209;OP22;EIM000+2520;20241121.066;10.0;0.0;False;0.030181086519114688;;;;
