;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
63;50209;OP22;KJM008+2520;20241120.016;3.6;0.011904761904761904;True;True;0.0;False;2;6e+17;1e+16;15.21;0.91
85;50209;OP22;KJM008+2520;20241001.046;16.0;0.011904761904761904;True;True;0.0;False;2;1.17e+18;0.0;7.33;0.04
89;50209;OP22;KJM008+2520;20241017.047;2.0;0.011904761904761904;True;True;0.0;False;2;;;;
167;50209;OP23;DBM000+2520;20250401.079;7.0;0.011904761904761904;True;True;0.0;False;2;3.77e+18;1e+16;27.09;0.21
205;50209;OP23;DBM000+2520;20250401.058;7.0;0.011904761904761904;True;True;0.0;False;2;2e+18;1e+16;25.46;0.33
64;50209;OP22;KJM008+2520;20241120.021;3.6;0.011764705882352941;True;True;0.0;False;2;;;;
72;50209;OP22;KJM008+2520;20241120.019;14.1;0.011764705882352941;True;True;0.0;False;2;;;;
86;50209;OP22;KJM008+2520;20241001.053;16.0;0.011764705882352941;True;True;0.0;False;2;1.55e+18;0.0;7.03;0.03
92;50209;OP22;KJM008+2520;20241120.028;14.1;0.011764705882352941;True;True;0.0;False;2;;;;
93;50209;OP22;KJM008+2520;20241017.005;1.0;0.011764705882352941;True;True;0.0;False;2;;;;
107;50209;OP22;KJM008+2520;20241001.058;1.0;0.011764705882352941;True;True;0.0;False;2;3.18e+18;1e+16;8.52;0.04
118;50209;OP22;KJM008+2520;20241009.055;1.9;0.011764705882352941;True;True;0.0;False;2;2.13e+18;1e+16;10.92;0.06
119;50209;OP22;KJM008+2520;20241009.055;5.4;0.011764705882352941;True;True;0.0;False;2;2.38e+18;1e+16;10.16;0.08
153;50209;OP23;DBM000+2520;20250401.083;2.0;0.011764705882352941;True;True;0.0;False;2;3.07e+18;2e+16;23.86;0.37
38;50209;OP22;FTM004+2520;20241113.068;8.0;0.011627906976744186;True;True;0.0;False;2;;;;
65;50209;OP22;KJM008+2520;20241120.021;10.6;0.011627906976744186;True;True;0.0;False;2;;;;
70;50209;OP22;KJM008+2520;20241120.026;3.6;0.011627906976744186;True;True;0.0;False;2;;;;
87;50209;OP22;KJM008+2520;20241001.059;4.0;0.011627906976744186;True;True;0.0;False;2;2.05e+18;1e+16;10.55;0.03
98;50209;OP22;KJM008+2520;20241016.074;6.5;0.011627906976744186;True;True;0.0;False;2;;;;
99;50209;OP22;KJM008+2520;20241016.053;1.5;0.011627906976744186;True;True;0.0;False;2;;;;
111;50209;OP22;KJM008+2520;20241009.064;5.4;0.011627906976744186;True;True;0.0;False;2;2.2200000000000005e+18;1e+16;5.89;0.02
168;50209;OP23;DBM000+2520;20250401.079;10.0;0.011627906976744186;True;True;0.0;False;2;3.95e+18;1e+16;29.27;0.23
170;50209;OP23;DBM000+2520;20250401.084;4.0;0.011627906976744186;True;True;0.0;False;2;3.35e+18;2e+16;17.31;0.14
204;50209;OP23;DBM000+2520;20250401.058;4.0;0.011627906976744186;True;True;0.0;False;2;2.79e+18;2e+16;30.95;0.47
