;dischargeID;maxNumberOfFailureIndicators;numberOfFailedPlunges;configuration;campaign
47;20241112.072;1;0;EIM000+2614;OP22
46;20241112.069;1;0;EIM000+2614;OP22
45;20241112.068;1;0;EIM000+2614;OP22
44;20241112.065;1;0;EJM013+2620;OP22
43;20241112.064;1;0;EJM013+2620;OP22
42;20241112.063;1;0;EJM013+2620;OP22
41;20241112.062;1;0;EJM013+2620;OP22
40;20241112.061;1;0;EJM013+2620;OP22
38;20241112.055;1;0;EKM006+2620;OP22
35;20241112.017;1;0;KJM008+2620;OP22
33;20241106.057;1;0;DBM000+2520;OP22
17;20241106.036;1;0;ECM003+2520;OP22
9;20241010.020;1;0;EJM013+2620;OP22
8;20241009.060;1;0;KJM008+2520;OP22
784;20250515.049;0;0;EIM000+2520;OP23
783;20250513.045;0;0;EIM000+2520;OP23
782;20250513.039;0;0;EIM000+2520;OP23
781;20250513.038;0;0;EIM000+2520;OP23
780;20250513.036;0;0;EIM000+2520;OP23
779;20250513.035;0;0;EIM000+2520;OP23
778;20250513.031;0;0;EIM000+2520;OP23
777;20250513.019;0;0;EIM000+2520;OP23
776;20250513.018;0;0;EIM000+2520;OP23
771;20250508.095;0;0;EIM000+2520;OP23
741;20250508.063;0;0;EIM000+2520;OP23
740;20250508.060;0;0;KJM008+2520;OP23
739;20250508.059;0;0;KJM008+2520;OP23
738;20250508.058;0;0;KJM008+2520;OP23
737;20250508.056;0;0;KJM008+2520;OP23
736;20250508.055;0;0;KJM008+2520;OP23
735;20250508.054;0;0;KJM008+2520;OP23
734;20250508.053;0;0;KJM008+2520;OP23
733;20250508.052;0;0;KJM008+2520;OP23
732;20250508.051;0;0;KJM008+2520;OP23
731;20250508.050;0;0;KJM008+2520;OP23
730;20250508.049;0;0;KJM008+2520;OP23
729;20250508.048;0;0;KJM008+2520;OP23
728;20250508.047;0;0;KJM008+2520;OP23
727;20250508.046;0;0;KJM008+2520;OP23
726;20250508.045;0;0;KJM008+2520;OP23
725;20250508.044;0;0;KJM008+2520;OP23
724;20250508.043;0;0;KJM008+2520;OP23
723;20250508.042;0;0;KJM008+2520;OP23
722;20250508.041;0;0;KJM008+2520;OP23
721;20250508.040;0;0;KJM008+2520;OP23
720;20250508.039;0;0;KJM008+2520;OP23
719;20250508.038;0;0;KJM008+2520;OP23
718;20250508.037;0;0;KJM008+2520;OP23
717;20250508.036;0;0;KJM008+2520;OP23
716;20250508.035;0;0;KJM008+2520;OP23
715;20250508.034;0;0;KJM008+2520;OP23
714;20250508.033;0;0;KJM008+2520;OP23
713;20250508.032;0;0;KJM008+2520;OP23
712;20250508.031;0;0;KJM008+2520;OP23
711;20250508.030;0;0;KJM008+2520;OP23
710;20250508.029;0;0;KJM008+2520;OP23
709;20250508.028;0;0;KJM008+2520;OP23
708;20250508.026;0;0;KJM008+2520;OP23
707;20250508.025;0;0;KJM008+2520;OP23
706;20250508.024;0;0;KJM008+2520;OP23
705;20250508.023;0;0;KJM008+2520;OP23
704;20250508.022;0;0;KJM008+2520;OP23
703;20250508.021;0;0;KJM008+2520;OP23
702;20250508.020;0;0;KJM008+2520;OP23
701;20250508.019;0;0;KJM008+2520;OP23
700;20250508.018;0;0;KJM008+2520;OP23
699;20250508.017;0;0;KJM008+2520;OP23
698;20250508.016;0;0;KJM008+2520;OP23
697;20250508.015;0;0;KJM008+2520;OP23
696;20250508.014;0;0;KJM008+2520;OP23
695;20250508.013;0;0;KJM008+2520;OP23
694;20250508.011;0;0;KJM008+2520;OP23
693;20250508.010;0;0;KJM008+2520;OP23
692;20250508.009;0;0;KJM008+2520;OP23
691;20250508.008;0;0;KJM008+2520;OP23
690;20250507.050;0;0;XIM001+2485;OP23
678;20250506.082;0;0;FTM000+2620;OP23
677;20250506.081;0;0;FTM000+2620;OP23
676;20250506.080;0;0;FTM000+2620;OP23
675;20250506.079;0;0;FTM000+2620;OP23
674;20250506.078;0;0;FTM000+2620;OP23
673;20250506.077;0;0;FTM000+2620;OP23
672;20250506.076;0;0;FTM000+2620;OP23
671;20250506.075;0;0;FTM000+2620;OP23
670;20250506.074;0;0;FTM000+2620;OP23
669;20250506.073;0;0;FTM000+2620;OP23
668;20250506.072;0;0;FTM000+2620;OP23
667;20250506.071;0;0;FTM000+2620;OP23
666;20250506.070;0;0;FTM000+2620;OP23
665;20250506.069;0;0;FTM000+2620;OP23
664;20250506.068;0;0;FTM000+2620;OP23
663;20250506.067;0;0;FTM000+2620;OP23
662;20250506.066;0;0;FTM000+2620;OP23
661;20250506.065;0;0;FTM000+2620;OP23
660;20250506.064;0;0;FTM000+2620;OP23
659;20250506.063;0;0;FTM004+2520;OP23
658;20250506.062;0;0;FTM004+2520;OP23
657;20250506.061;0;0;FTM004+2520;OP23
656;20250506.060;0;0;FTM004+2520;OP23
655;20250506.058;0;0;FTM004+2520;OP23
654;20250506.057;0;0;FTM004+2520;OP23
653;20250506.056;0;0;FTM004+2520;OP23
652;20250506.055;0;0;FTM004+2520;OP23
651;20250506.053;0;0;FTM004+2520;OP23
650;20250506.052;0;0;FTM004+2520;OP23
649;20250506.051;0;0;FTM004+2520;OP23
648;20250506.050;0;0;FTM004+2520;OP23
647;20250506.049;0;0;FTM004+2520;OP23
646;20250506.047;0;0;FTM000+2620;OP23
645;20250506.046;0;0;FTM000+2620;OP23
644;20250506.045;0;0;FTM000+2620;OP23
643;20250506.044;0;0;FTM000+2620;OP23
642;20250506.043;0;0;FTM000+2620;OP23
641;20250506.042;0;0;FTM000+2620;OP23
640;20250506.041;0;0;FTM000+2620;OP23
639;20250506.040;0;0;FTM000+2620;OP23
638;20250506.039;0;0;FTM000+2620;OP23
637;20250506.038;0;0;FTM000+2620;OP23
636;20250506.037;0;0;FTM000+2620;OP23
635;20250506.036;0;0;FTM000+2620;OP23
634;20250506.035;0;0;FTM000+2620;OP23
633;20250506.034;0;0;FTM000+2620;OP23
