;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
497;50209;OP23;DBM000+2520;20250401.070;2.0;0.803921568627451;True;True;0.20150943396226415;True;3;3.135e+19;9e+16;24.82;0.16
527;50209;OP23;DBM000+2520;20250401.077;7.0;0.7380952380952381;True;True;0.20145801910507793;True;3;2.892e+19;9e+16;20.6;0.13
550;50209;OP23;DBM000+2520;20250401.050;6.4;0.6310679611650486;True;True;0.19641061733360146;True;3;2.164e+19;5e+16;28.46;0.16
553;50209;OP23;DBM000+2520;20250401.045;2.9;0.45806451612903226;True;True;0.19401408450704224;True;3;;;;
541;50209;OP23;DBM000+2520;20250401.081;1.0;0.27522935779816515;True;True;0.19395402645742166;True;3;8.92e+18;3e+16;24.93;0.19
503;50209;OP23;DBM000+2520;20250401.069;4.0;0.75;True;True;0.19391348088531188;True;3;2.766e+19;9e+16;23.7;0.17
531;50209;OP23;DBM000+2520;20250401.080;7.0;0.7192982456140351;True;True;0.19388422270281144;True;3;2.63e+19;7.000000000000001e+16;22.3;0.13
502;50209;OP23;DBM000+2520;20250401.069;2.0;0.6708860759493671;True;True;0.19138347074200684;True;3;2.239e+19;7.000000000000001e+16;23.01;0.16
498;50209;OP23;DBM000+2520;20250401.070;4.0;0.7595628415300546;True;True;0.18388086733410475;True;3;2.723e+19;9e+16;23.6;0.18
496;50209;OP23;DBM000+2520;20250401.063;9.5;0.427536231884058;True;True;0.18384387103264424;True;3;1.526e+19;4e+16;23.36;0.14
25;50209;OP22;DBM000+2520;20241106.044;1.0;0.34532374100719426;True;True;0.18348992614178766;True;3;;;;
566;50209;OP23;DBM000+2520;20250401.061;2.9;0.18691588785046728;True;True;0.17639364057154358;True;3;8.24e+18;3e+16;27.5;0.19
567;50209;OP23;DBM000+2520;20250401.061;6.4;0.21739130434782608;True;True;0.17382546956040082;True;3;1.119e+19;4e+16;25.53;0.18
0;50209;OP22;DBM000+2520;20241106.052;0.7;0.168141592920354;True;True;0.17376867736579968;True;3;7.09e+18;3e+16;24.76;0.26
15;50209;OP22;DBM000+2520;20241106.058;3.7;0.26356589147286824;True;True;0.17128488810661302;True;3;;;;
549;50209;OP23;DBM000+2520;20250401.050;2.9;0.38953488372093026;True;True;0.17126488768279813;True;3;1.171e+19;6e+16;31.17;0.38
495;50209;OP23;DBM000+2520;20250401.063;8.0;0.30434782608695654;True;True;0.1712187515718525;True;3;1.234e+19;6e+16;25.29;0.25
569;50209;OP23;DBM000+2520;20250401.061;13.4;0.13592233009708737;True;True;0.16884619253596217;True;3;8.539999999999999e+18;3e+16;23.56;0.18
513;50209;OP23;DBM000+2520;20250401.076;13.0;0.2;True;True;0.16866985164697007;True;3;1.15e+19;5e+16;21.34;0.2
29;50209;OP22;DBM000+2520;20241106.046;1.0;0.2644628099173554;True;True;0.16626433313216657;True;3;;;;
530;50209;OP23;DBM000+2520;20250401.080;4.0;0.35789473684210527;True;True;0.16619746631811783;True;3;1.186e+19;3e+16;14.87;0.08
526;50209;OP23;DBM000+2520;20250401.077;4.0;0.2727272727272727;True;True;0.16376709573612228;True;3;1.151e+19;4e+16;13.76;0.08
511;50209;OP23;DBM000+2520;20250401.076;9.0;0.13592233009708737;True;True;0.16375886168233697;True;3;8.050000000000001e+18;4e+16;24.11;0.23
