;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
1251;50209;OP22;EIM000+2520;20241106.028;13.0;1.0;False;True;0.805982905982906;False;3;;;;
1164;50209;OP22;EIM000+2520;20241106.016;5.0;1.0;False;True;0.8035085955564492;False;3;;;;
1364;50209;OP22;EIM000+2520;20241106.024;3.0;1.0;False;True;0.8034798350598411;False;3;;;;
1231;50209;OP22;EIM000+2520;20241106.027;3.0;1.0;False;True;0.80341966306261;False;3;;;;
1177;50209;OP22;EIM000+2520;20241106.020;7.0;1.0;False;True;0.8034106343377434;False;3;;;;
1204;50209;OP22;EIM000+2520;20241106.019;1.0;1.0;False;True;0.8034097767048883;False;3;;;;
1152;50209;OP22;EIM000+2520;20241106.017;5.0;1.0;False;True;0.8033693738999246;False;3;;;;
1962;50209;OP22;EIM000+2520;20241105.064;3.8;1.0;False;True;0.8033594850130759;False;3;;;;
1255;50209;OP22;EIM000+2520;20241106.028;21.0;1.0;False;True;0.8010966346395694;False;3;9.7423e+20;1.3643e+20;13.62;
1232;50209;OP22;EIM000+2520;20241106.027;5.0;1.0;False;True;0.8010358004827032;False;3;;;;
1247;50209;OP22;EIM000+2520;20241106.028;5.0;1.0;False;True;0.8008647126841285;False;3;;;;
1166;50209;OP22;EIM000+2520;20241106.016;9.0;1.0;False;True;0.7985922574157869;False;3;;;;
1236;50209;OP22;EIM000+2520;20241106.027;13.0;0.9987834549878345;False;True;0.7984714400643604;False;3;;;;
1224;50209;OP22;EIM000+2520;20241106.026;9.0;1.0;False;True;0.798461693142972;False;3;;;;
1147;50209;OP22;EIM000+2520;20241106.013;5.0;1.0;False;True;0.7959265778224792;False;3;;;;
1367;50209;OP22;EIM000+2520;20241106.024;9.0;1.0;False;True;0.7958065164923572;False;3;;;;
1252;50209;OP22;EIM000+2520;20241106.028;15.0;1.0;False;True;0.7934328958616181;False;3;5.5553999999999993e+20;8.578e+19;61.8;
1183;50209;OP22;EIM000+2520;20241106.020;19.0;1.0;False;True;0.7932733397013725;False;3;;;;
1184;50209;OP22;EIM000+2520;20241106.020;21.0;1.0;False;True;0.7908519728575019;False;3;;;;
