;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;Failed;ne;std_ne;Te;std_Te
305;51222;OP22;EIM000+2520;20241212.010;3.0;1.0;True;True;0.9849178020210145;True;3;True;8.669e+20;6.915000000000001e+19;200.0;60.25
194;51222;OP22;DIR001+2520;20241211.062;7.0;1.0;True;True;0.9849124924562462;True;3;True;1e+21;3.79e+18;17.51;0.43
2384;51222;OP23;FTM004+1800;20250423.025;4.0;0.9859154929577465;True;True;0.9848881724763248;True;3;True;;;;
174;51222;OP22;DIR001+2520;20241211.052;9.0;1.0;True;True;0.9848720912700407;True;3;True;8.2888e+20;6.56e+18;34.52;1.4
170;51222;OP22;DIR001+2520;20241211.052;1.0;1.0;True;True;0.9848660063351602;True;3;True;1e+21;2.036e+19;53.44;3.61
167;51222;OP22;DIR001+2520;20241211.055;13.0;1.0;True;True;0.9848195435809792;True;3;True;8.065e+20;4.221e+19;58.04;20.31
76;51222;OP22;DIR001+2520;20241211.071;2.0;1.0;True;True;0.9848126728689968;True;3;True;1e+21;1.37e+19;21.06;1.31
35;51222;OP22;AIM000+2520;20241211.038;1.0;0.9894736842105263;True;True;0.9848126728689968;True;3;True;9.9463e+20;3.08514e+21;6.8;41.83
185;51222;OP22;DIR001+2520;20241211.054;1.0;1.0;True;True;0.9848119090726212;True;3;True;7.7324e+20;2.88e+18;29.68;7.56
133;51222;OP22;DIR001+2520;20241211.083;5.0;1.0;True;True;0.9824094084535357;True;3;True;5.9021000000000007e+20;2e+18;26.84;0.77
218;51222;OP22;DIR001+2520;20241211.063;25.0;1.0;True;True;0.9824032176973353;True;3;True;1e+21;1.104e+19;36.17;1.57
2409;51222;OP23;FTM004+2520;20250423.035;1.0;1.0;True;True;0.9823653536977492;True;3;True;;;;
129;51222;OP22;DIR001+2520;20241211.077;18.0;1.0;True;True;0.9823564893937871;True;3;True;9.3516e+20;1.486e+19;30.21;2.82
160;51222;OP22;DIR001+2520;20241211.051;4.0;1.0;True;True;0.9823556024732318;True;3;True;8.9336e+20;5.41e+18;25.91;0.92
173;51222;OP22;DIR001+2520;20241211.052;7.0;1.0;True;True;0.982354715463503;True;3;True;1e+21;2.145e+19;49.53;3.6
156;51222;OP22;DIR001+2520;20241211.046;3.0;1.0;True;True;0.9823520538991403;True;3;True;9.5252e+20;2.14e+19;35.43;3.4
164;51222;OP22;DIR001+2520;20241211.055;4.0;1.0;True;True;0.9823520538991403;True;3;True;5.9277e+20;5.1282000000000007e+20;45.42;196.38
2247;51222;OP23;FMM002+1800;20250423.021;6.0;0.9788732394366197;True;True;0.9822728870587054;True;3;True;;;;
140;51222;OP22;DIR001+2520;20241211.083;19.0;1.0;True;True;0.9822666532703708;True;3;True;5.9548e+20;5.6e+18;12.32;0.34
89;51222;OP22;DIR001+2520;20241211.074;1.0;1.0;True;True;0.982260415096236;True;3;True;5.8615e+20;1.406e+19;42.76;2.71
795;51222;OP22;EIM000+2614;20241212.075;5.0;1.0;True;True;0.982260415096236;True;3;True;;;;
162;51222;OP22;DIR001+2520;20241211.049;4.0;1.0;True;True;0.98225595656982;True;3;True;9.7151e+20;1.1239e+20;53.19;54.13
205;51222;OP22;DIR001+2520;20241211.062;29.0;1.0;True;True;0.9822434607645876;True;3;True;1e+21;8.03643e+21;7.27;115.89
294;51222;OP22;EIM000+2520;20241127.047;8.87;0.994535519125683;True;True;0.9822262388913993;True;3;True;;;;
2547;51222;OP23;FTM004+2520;20250429.055;9.7;1.0;True;True;0.982159010955875;True;3;True;;;;
2411;51222;OP23;FTM004+2520;20250423.033;1.0;0.9859154929577465;True;True;0.9820738137082601;True;3;True;;;;
127;51222;OP22;DIR001+2520;20241211.077;13.0;1.0;True;True;0.9798904026946861;True;3;True;8.6677e+20;5.87e+18;19.22;1.09
134;51222;OP22;DIR001+2520;20241211.083;7.0;1.0;True;True;0.9798863579222608;True;3;True;7.6122e+20;6.73e+18;14.56;0.73
181;51222;OP22;DIR001+2520;20241211.052;23.0;1.0;True;True;0.9798863579222608;True;3;True;9.9301e+20;2.636e+19;58.31;5.1
43;51222;OP22;AIM000+2520;20241211.042;5.0;0.9872611464968153;True;True;0.9798508966350997;True;3;True;1e+21;8.728680000000001e+21;6.54;113.26
171;51222;OP22;DIR001+2520;20241211.052;3.0;1.0;True;True;0.9798350598410942;True;3;True;1e+21;1.857e+19;43.79;3.03
184;51222;OP22;DIR001+2520;20241211.052;29.0;1.0;True;True;0.9797446722959389;True;3;True;7.660299999999999e+20;1.192e+19;34.34;2.97
2249;51222;OP23;FMM002+1800;20250423.020;4.0;0.9652777777777778;True;True;0.9773892071148629;True;3;True;;;;
172;51222;OP22;DIR001+2520;20241211.052;5.0;1.0;True;True;0.9773710147842704;True;3;True;1e+21;1.215e+19;48.74;2.04
798;51222;OP22;EIM000+2614;20241212.088;5.0;1.0;True;True;0.9773287085909617;True;3;True;;;;
206;51222;OP22;DIR001+2520;20241211.063;1.0;1.0;True;True;0.9772704415166449;True;3;True;1e+21;1.302e+19;15.87;0.86
86;51222;OP22;DIR001+2520;20241211.072;2.0;1.0;True;True;0.9771824898225863;True;3;True;1e+21;1.832498e+22;6.63;241.06
304;51222;OP22;EIM000+2520;20241212.010;1.0;1.0;True;True;0.9769710378117458;True;3;True;4.5712e+20;8.67e+18;96.59;
144;51222;OP22;DIR001+2520;20241211.083;27.0;1.0;True;True;0.9748604756398009;True;3;True;8.409e+19;1.445e+19;34.88;6.1
155;51222;OP22;DIR001+2520;20241211.046;1.0;1.0;True;True;0.9748516245850518;True;3;True;9.115e+20;9.84e+18;28.46;1.65
111;51222;OP22;DIR001+2520;20241211.080;15.0;1.0;True;True;0.9748165275962601;True;3;True;5.1064e+20;2.43e+18;21.56;0.56
136;51222;OP22;DIR001+2520;20241211.083;11.0;1.0;True;True;0.9748038624019312;True;3;True;6.7992e+20;4.31e+18;19.21;1.01
97;51222;OP22;DIR001+2520;20241211.074;17.0;1.0;True;True;0.9747548403319085;True;3;True;8.004e+19;1.351e+19;32.79;7.39
209;51222;OP22;DIR001+2520;20241211.063;7.0;1.0;True;True;0.9747109100050276;True;3;True;9.5939e+20;1.103e+19;29.0;1.62
207;51222;OP22;DIR001+2520;20241211.063;3.0;1.0;True;True;0.9722473604826546;True;3;True;1e+21;2.951e+19;46.04;5.3
195;51222;OP22;DIR001+2520;20241211.062;9.0;1.0;True;True;0.9722445695897023;True;3;True;1e+21;8.720000000000001e+18;24.92;1.17
94;51222;OP22;DIR001+2520;20241211.074;11.0;1.0;True;True;0.9721942880128721;True;3;True;6.594900000000001e+20;2.6376e+20;13.94;10.82
166;51222;OP22;DIR001+2520;20241211.055;10.0;1.0;True;True;0.972190093034951;True;3;True;9.9997e+20;3.04561e+21;7.47;45.11
183;51222;OP22;DIR001+2520;20241211.052;27.0;1.0;True;True;0.972190093034951;True;3;True;5.8378e+20;6.339e+19;45.09;11.26
33;51222;OP22;AIM000+2520;20241211.039;4.5;0.9745222929936306;True;True;0.9721802998289566;True;3;True;6.7716e+20;2.57e+18;47.67;2.07
2537;51222;OP23;FTM004+2520;20250429.054;9.7;1.0;True;True;0.9721398038722655;True;3;True;;;;
135;51222;OP22;DIR001+2520;20241211.083;9.0;1.0;True;True;0.9697838109602815;True;3;True;7.034900000000001e+20;3.71e+18;18.43;0.67
117;51222;OP22;DIR001+2520;20241211.079;1.0;1.0;True;True;0.96977469322068;True;3;True;9.5371e+20;4.005e+19;44.71;7.44
190;51222;OP22;DIR001+2520;20241211.064;2.0;1.0;True;True;0.9697259240633643;True;3;True;;;;
13;51222;OP22;AIM000+2520;20241211.033;1.0;0.98125;True;True;0.9697183453418653;True;3;True;9.9629e+20;7.08932e+21;6.7;94.52
2548;51222;OP23;FTM004+2520;20250429.055;13.2;1.0;True;True;0.969718309859155;True;3;True;;;;
78;51222;OP22;DIR001+2520;20241211.071;10.0;1.0;True;True;0.9695674044265593;True;3;True;8.729e+20;8.49e+19;10.01;2.85
268;51222;OP22;EIM000+2520;20241127.043;4.87;0.9888888888888889;True;True;0.9673629242819843;True;3;True;;;;
219;51222;OP22;DIR001+2520;20241211.063;27.0;1.0;True;True;0.9673317585565663;True;3;True;3.9742e+20;3.67e+18;21.35;0.76
322;51222;OP22;EIM000+2520;20241212.011;9.0;1.0;True;True;0.9673268322107168;True;3;True;;;;
122;51222;OP22;DIR001+2520;20241211.079;11.0;1.0;True;True;0.9672699849170437;True;3;True;7.4298e+20;8.9e+18;32.63;2.3
2408;51222;OP23;FTM004+2520;20250423.032;1.0;0.9710144927536232;True;True;0.9672593562685741;True;3;True;;;;
2380;51222;OP23;FTM004+1800;20250423.024;6.0;0.9683544303797469;True;True;0.9672544080604534;True;3;True;;;;
216;51222;OP22;DIR001+2520;20241211.063;21.0;1.0;True;True;0.9672535211267606;True;3;True;9.3841e+20;1.066e+19;29.51;1.72
145;51222;OP22;DIR001+2520;20241211.083;29.0;1.0;True;True;0.9672213563923382;True;3;True;3.7988e+20;5.97e+18;20.51;1.08
126;51222;OP22;DIR001+2520;20241211.077;10.0;1.0;True;True;0.9672164119066774;True;3;True;6.4614e+20;5.685e+19;51.46;66.72
314;51222;OP22;EIM000+2520;20241212.012;1.0;1.0;True;True;0.9670688788335847;True;3;True;;;;
822;51222;OP22;EIM000+2614;20241212.066;1.0;1.0;True;True;0.9648258881463243;True;3;True;;;;
217;51222;OP22;DIR001+2520;20241211.063;23.0;1.0;True;True;0.9647958157312412;True;3;True;1e+21;1.052e+19;36.56;1.49
96;51222;OP22;DIR001+2520;20241211.074;15.0;1.0;True;True;0.9647614738852863;True;3;True;4.4577e+20;2.62e+18;22.48;0.6
131;51222;OP22;DIR001+2520;20241211.083;1.0;1.0;True;True;0.9647579307224373;True;3;True;6.1086e+20;2.77e+18;19.52;0.53
2536;51222;OP23;FTM004+2520;20250429.054;6.2;1.0;True;True;0.9646881287726358;True;3;True;;;;
125;51222;OP22;DIR001+2520;20241211.077;6.0;1.0;True;True;0.9646662645757941;True;3;True;7.7168e+20;4.54e+18;18.34;0.82
98;51222;OP22;DIR001+2520;20241211.074;19.0;1.0;True;True;0.9646396056536392;True;3;True;3.5198e+20;2.05e+18;29.92;0.92
21;51222;OP22;AIM000+2520;20241211.035;5.0;0.983957219251337;True;True;0.9645736746623664;True;3;True;9.9575e+20;1.618771e+22;6.77;218.29
88;51222;OP22;DIR001+2520;20241211.072;10.0;1.0;True;True;0.9644958511440784;True;3;True;1e+21;2.0727e+20;28.46;17.92
188;51222;OP22;DIR001+2520;20241211.054;7.0;1.0;True;True;0.9644580735974261;True;3;True;1e+21;7.44172e+21;6.49;95.76
